Congruent,Incongruent,,X-u,t,,
12.079,19.278,7.199,-7.9647917,-1.637219959,,0
16.791,18.741,1.95,-0.7657917,-0.157413967,,2
9.564,21.214,11.65,-6.0147917,-1.236383498,,2
8.63,15.687,7.057,3.6852083,0.757520951,,1
14.669,22.803,8.134,-0.9077917,-0.186603083,,1
12.238,20.878,8.64,0.1692083,0.034781978,,countif(
14.692,24.572,9.88,0.6752083,0.1387939,,
8.987,17.394,8.407,1.9152083,0.393684778,,
9.401,20.762,11.361,0.4422083,0.090899082,,
14.48,26.282,11.802,3.3962083,0.698114932,,
22.328,24.524,2.196,3.8372083,0.788765639,,
15.298,18.644,3.346,-5.7687917,-1.185816437,,
15.073,17.51,2.437,-4.6187917,-0.949425703,,
16.929,20.33,3.401,-5.5277917,-1.136277161,,
18.2,35.255,17.055,-4.5637917,-0.938120059,,
12.13,22.158,10.028,9.0902083,1.868557399,,
18.495,25.139,6.644,2.0632083,0.424107238,,
10.639,20.429,9.79,-1.3207917,-0.27149819,,
11.344,17.425,6.081,1.8252083,0.375184634,,
12.369,34.288,21.919,-1.8837917,-0.387226871,,
12.944,23.894,10.95,13.9542083,2.868387424,,
14.233,17.96,3.727,2.9852083,0.613630939,,
19.71,22.058,2.348,-4.2377917,-0.871108425,,
16.004,21.157,5.153,-5.6167917,-1.154571748,,
,,,,,,
14.051125,22.01591667,7.964791667,,,,
3.559357958,4.797057122,4.86482691,4.76239803,,,
